"","CM101","CM106","CM108","CM114","CMM08","CM115","CM12-1","CM12-2","CM13-1","CM13-2","122_Zygote","122_Ookinete","PvSPZ1","PvSPZ2"
"PVX_109795",57.1,65.2,102.4,53.2,83.3,79.5,49.2,40.8,44.8,23.5,129.1,57.8,43.8,61.8
"PVX_090230",515.8,539.5,522.1,3329.9,3807.7,6975.5,11295,10633.3,12078.5,11887.6,2611.5,1758.9,694.3,734.3
"PVX_003565",1408.5,730.6,662.6,6197,9965.1,9627.4,13556.2,14187.3,19969.5,18921,6949.3,6174.1,352,511.4
"PVX_095080",306.3,302.4,165.8,731.9,351.5,1316.2,1839.8,1632.7,1995.3,1680.6,188.2,237.5,107.9,82.4
"PVX_083270",102.7,91.3,67.7,126.6,262.2,208.5,1082.6,1749.3,1764.6,1651.8,148.2,221.1,157.8,191.2
"PVX_092805",562.3,1022.3,2486.8,437.5,788.7,581.6,2814.3,2235.2,4186.1,4498.6,1054.6,381.1,434.9,489.6
"PVX_087950",749.8,548.1,462.5,849.7,579,397.3,1400.9,1920.6,2510.1,2764.8,236.9,103.8,934,1217.4
"PVX_101035",248.9,96.3,124.5,807.9,251.6,2367.3,1791,1882.6,2358.9,3209.7,283.7,251.4,317,270.1
"PVX_095135",348.3,411.4,438.2,528.6,414.6,310.4,631.4,652.6,1409.3,793.5,134,255.3,271.2,335.2
"PVX_114910",206.6,148.8,231.4,348,363.2,403.2,1489.7,1272.7,1499.3,1651.3,88.5,122.2,85.3,87.6
"PVX_000010",358.2,156.8,199.5,373.3,397.1,786.5,1663.5,1266.2,2622.5,1039.8,169.9,302.4,88.9,112.2
"PVX_083045",534.2,156.1,198.6,1435.3,706.4,593.4,2983,2747.8,2221.8,2521.1,177.8,142.8,1473.8,1401.9
"PVX_090935",4489.5,294,310.4,4789.8,8609.2,4249.3,19365.1,18646.7,20272.4,21056.6,6270.7,4576.9,293.6,346.1
"PVX_110835",357.5,472.7,348.4,433.6,546,190.5,795.5,501.4,514.2,524.2,143.4,178.5,301.2,154.7
"PVX_117390",193.3,155.7,283.1,173,384.4,462.5,1500.7,1829.8,1568.3,1716.6,225.4,123.8,658.7,460.1
"PVX_121935",1539.2,150.7,91.2,2369.2,1179.9,3815.2,2795.1,3563.6,5020.1,5332.2,217.4,353.6,98.9,87.6
"PVX_088865",833.3,170.9,408,142.4,506,149.8,201.7,705.2,116.8,529,87,358.9,407.6,479.1
"PVX_114830",337.8,97.5,149.2,832.3,731.3,990.5,3542.2,3428.9,5178.6,5076.6,390.9,175.2,709.9,849.7
"PVX_091865",593.8,308.7,349.2,931,273.7,836.4,549.8,488.9,1013,1044.1,257.9,377.1,160.1,169.3
"PVX_123585",96.9,190.1,211.3,179.7,108,93,126.5,145.7,128.3,112.5,100.2,134.6,319.2,283.9
"PVX_116715",115.3,83.8,107.1,242.2,151.6,454.5,722.4,766.1,846.9,1037.4,198.3,167.2,104.6,84.2
