Cluster	Genes
Cluster 1	"MAL13P1.176, MAL6P1.135, MAL8P1.144, PF13_0159, PF13_0198"
Cluster 2	"MAL13P1.177, MAL7P1.124, PF10_0145, PF10_0383, PF10_0420, PF11_0033, PF11_0135, PF11_0334, PF11_0478, PF14_0596, PF14_0638, PF14_0701, PFA0245W, PFD1030C, PFF0890C, PFI0840W, PFL0320W, PFL1583C, PFL2385C"
Cluster 3	"MAL13P1.20, PF11_0050, PF13_0295, PF14_0236, PF14_0458, PFA0535C, PFB0405W, PFC0260W, PFE0535W, PFI1220W, PFL0390C, PFL0550W, PFL0800C"
Cluster 4	"MAL13P1.288, PF11_0162, PFD0745C, PFF1325C, PFI0715W, PFL0145C"
Cluster 5	"MAL13P1.305, PF13_0168, PF13_0269, PFE0480C, PFF0315C, PFF1035W, PFF1455C, PFF1465W, PFL0215C"
Cluster 6	"MAL13P1.339, MAL13P1.78, PF08_0013, PF08_0136, PF10_0007, PF14_0163, PF14_0785, PFC0675C, PFD0825C, PFF0095C, PFF0810C, PFF1255W, PFL1260W"
Cluster 7	"MAL6P1.120, MAL6P1.143, PF07_0055, PF11_0148, PF11_0155, PF11_0405, PF14_0043, PF14_0648, PFC0990C, PFD0405W"
Cluster 8	"MAL6P1.169, MAL6P1.60, PF11_0390, PF11_0391, PF13_0030, PF14_0085, PFC0180C, PFD1160W, PFI0275W, PFI1345C, PFL0645C"
Cluster 9	"MAL6P1.31, PF11_0142, PF11_0263, PFD0105C, PFL0190W"
Cluster 10	"MAL7P1.154, PF11_0262, PF13_0298, PF14_0723, PFA0550W, PFB0320C, PFE0940C, PFE1265W"
Cluster 11	"MAL7P1.161, PF10_0157, PF14_0460, PF14_0595, PFC0695W, PFD0395C, PFF0800W, PFL2575C"
Cluster 12	"MAL7P1.86, PF10_0036, PF11_0473, PFD0669C, PFE1235C, PFF1490W"
Cluster 13	"MAL8P1.154, PF08_0133, PF14_0736, PFD0310W, PFI1765C, PFI1770W, PFL2525C"
Cluster 14	"PF14_0040, PF14_0264, PF14_0708, PFC0640W, PFD0435C, PFL0065W"
Cluster 15	"MAL6P1.157, MAL6P1.255, PF08_0115, PF14_0110, PFA0070C, PFL2195W"
Cluster 16	"MAL7P1.173, PF08_0056, PF10_0025, PF11_0052, PF13_0238, PF14_0046, PF14_0140, PFA0215W, PFB0106C, PFB0695C, PFB0905C, PFD0095C, PFD1170C, PFE0055C, PFF0295C, PFF0480W, PFI0120C, PFI0820C, PFL0895C"
Cluster 17	"MAL8P1.52, PF08_0083, PF11_0151, PF11_0179, PF13_0162, PF14_0761, PFC0240C, PFF1315W, PFL0890C, PFL1480W"
Cluster 18	"MAL7P1.6, MAL7P1.7, MAL8P1.88, PF10_0015, PF10_0100, PF10_0163, PF10_0268, PF10_0296, PF11_0166, PF11_0509, PF13_0106, PF13_0211, PF13_0253, PF14_0164, PF14_0204, PF14_0423, PF14_0753, PFA0110W, PFA0135W, PFA0220W, PFA0420W, PFB0105C, PFB0900C, PFB0915W, PFC0090W, PFD1135C, PFE0070W, PFE1250W, PFI0915W, PFI1720W, PFL0060W, PFL0275W, PFL1880W, PFL1945C"
Cluster 19	"MAL13P1.225, PF10_0018, PF11_0067, PF11_0152, PF11_0175, PFL2540W, PFL2555W"
Cluster 20	"MAL13P1.149, PF11_0256, PF13_0060, PFB0256W, PFD0520C, PFI1520W, PFL0905C"
Cluster 21	"MAL6P1.39, MAL6P1.99, PF08_0030, PF10_0250, PF11_0221, PF11_0318, PF11_0328, PF11_0387, PF14_0131, PFC0420W, PFE0455W, PFI1165C, PFL0410W, PFL1730C"
Cluster 22	"PF08_0120, PF11_0510, PF13_0055, PF13_0125, PF14_0476, PF14_0574, PFA0525W, PFB0675W, PFC0582C, PFD0905W, PFE0485W, PFI0695C, PFL1520W"
Cluster 23	"MAL13P1.122, MAL13P1.268, MAL6P1.13, MAL6P1.174, MAL6P1.191, MAL6P1.200, MAL6P1.63, MAL7P1.170, MAL7P1.172, MAL8P1.104, MAL8P1.160, MAL8P1.4, PF07_0004, PF07_0006, PF07_0126, PF08_0003, PF10_0014, PF10_0022, PF10_0024, PF11_0039, PF11_0040, PF11_0211, PF11_0512, PF11_0513, PF13_0138, PF13_0194, PF14_0013, PF14_0016, PF14_0045, PF14_0075, PF14_0076, PF14_0117, PF14_0139, PF14_0487, PF14_0752, PF14_0760, PFA0635C, PFB0085C, PFB0120W, PFC0080C, PFD1165W, PFD1180W, PFE0065W, PFE1365W, PFI0325C, PFI1755C, PFL0035C, PFL0040C, PFL0635C, PFL1490W, PFL2565W"
Cluster 24	"MAL6P1.262, MAL7P1.123, PF11_0012, PF11_0015, PFA0720W, PFD1190C, PFD1215W, PFE1440C"
Cluster 25	"MAL7P1.178, MAL8P1.111, MAL8P1.204, PF10_0098, PF10_0245, PF11_0218, PF11_0231, PF11_0433, PF14_0159, PF14_0407, PF14_0469, PF14_0604, PFL0530C, PFL2530W"
Cluster 26	"MAL13P1.302, MAL13P1.77, PF08_0004, PF11_0139, PF13_0102, PF13_0163, PF13_0203, PFC0190C, PFC0740C, PFE1445C, PFE1490C, PFI0580C, PFL0845W, PFL1125W, PFL2095W, PFL2325C"
Cluster 27	"MAL13P1.70, MAL6P1.129, MAL7P1.112, MAL7P1.34, MAL8P1.132, PF10_0021, PF10_0023, PF10_0162, PF11_0206, PF11_0398, PF14_0477, PF14_0633, PFB0485C, PFB0910W, PFB0932W, PFC0410W, PFC0545C, PFE0120C, PFE0305W, PFE0990W, PFE1185W, PFE1200W, PFI1110W, PFL0525W, PFL0790W, PFL1940W"
Cluster 28	"PF08_0047, PF08_0055, PF14_0183B, PF14_0250, PF14_0291, PF14_0512, PF14_0518, PF14_0553, PFA0515W, PFB0920W, PFC0130C, PFC0486C, PFE1150W, PFE1363C, PFF0830W, PFF1145C, PFI0320W, PFI0470W"
Cluster 29	"MAL13P1.79, MAL6P1.133, PF10_0126, PF13_0124, PF14_0541, PF14_0689, PFA0375C, PFF1155W"
Cluster 30	"MAL13P1.247, MAL6P1.207, MAL7P1.162, MAL7P1.89, PF07_0096, PF11_0389, PF11_0479, PF13_0325, PF14_0243, PFI1635W, PFL0115W, PFL1000C"
Cluster 31	"MAL7P1.202, PF10_0046, PF13_0116, PF14_0316, PF14_0690, PFA0670C, PFD0320C, PFF0325C, PFF1100C, PFF1345W, PFL0440C, PFL1170W"
